iter	MultiClass
0	1.07282677611	1.04898578322	1.02665921333	1.00596056344	0.98666794855	0.969322917
6	0.9525283189
7	0.9365643585
8	0.9215028197
9	0.9072622732
10	0.8932636388
11	0.8802748514
12	0.8679767868
13	0.8562795947
14	0.8452102289115	0.8346219086116	0.8245909978117	0.8150513541818	0.8058705361919	0.7971042012020	0.788903221	021	0.780902622	022	0.773464523	023	0.766213024	024	0.759273425	025	0.752860626	026	0.746577027	027	0.740436228	028	0.734469529	029	0.728635430	030	0.7233725331	0.7181050653332	0.7129160938333	0.7082309185334	0.7035619152335	0.6992322273636	0.6949578873737	0.6911704538	38	0.6872380239	39	0.6833829240	40	0.6797997241	41	0.6761683442	42	0.672790254343	0.6695169184444	0.6663630914545	0.6633183644646	0.6604012384747	0.6574291534848	0.6545328314949	0.6518794695050	0.6492407065151	0.6466130415252	0.6442502485353	0.6419440145454	0.6397354475555	0.63774939
56	0.6358851675
57	0.6338818235
58	0.6318738678
59	0.6299214355
60	0.6279339473
61	0.6260431927662	0.6240388534663	0.6221192367664	0.6201676753665	0.618431968
66	0.6169313881
67	0.6152407758
68	0.613752855
69	0.6122092689
70	0.6105863217
71	0.6091317943
72	0.6079231168
73	0.606725645
74	0.6054624644
75	0.6042339041
76	0.6029872455
77	0.6016863432
78	0.6006177745
79	0.599496596
80	0.5984247849
81	0.5974181132
82	0.5964320351
83	0.5953439024
84	0.5945353961
85	0.5937369086
86	0.5927034431
87	0.5919268038
88	0.5909900025
89	0.5901217805
90	0.5893397326
91	0.5885198189
92	0.5879628574
93	0.5872250674
94	0.5864123032
95	0.5856534081
96	0.585065643
97	0.5843807148
98	0.5837780606
99	0.5832478643

